website_name;competence_date;country_code;currency_code;store_id;product_code;product_std_code;std_type;brand;product_title;category1;category2;category3;category4;category5;category6;category7;category8;category9;category10;package_desc;full_price;price;ppu;unit_type;promotion_type;promotion_end_date;additional_tags;additional_content;itemurl;imageurl
continente.pt;2026-09-19;PRT;EUR;;8157853;;;Purina Gourmet Gold;Comida Húmida para Gato Adulto Purina Gourmet Gold;Animais;Gato;Comida Húmida;;;;;;;;emb. 96 x 85 g;59.99;59.99;7.35;kg;;;;Disponível;https://www.continente.pt/produto/comida-humida-para-gato-adulto-purina-gourmet-gold-8157853.html;https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw4e8bff9b/images/zu/815/8157853-frente.jpg?sw=280&sh=280
continente.pt;2026-09-19;PRT;EUR;;6148284;;;Super Bock;Cerveja com Álcool Super Bock Mini;Bebidas e Garrafeira;Cervejas e Sidras;Cerveja Tradicional;;;;;;;;emb. 30 x 25 cl;14.95;14.95;1.99;lt;PVPR -45%;;;Disponível;https://www.continente.pt/produto/cerveja-com-alcool-super-bock-mini-6148284.html;https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw6c4a9a9f/images/col/614/6148284-frente.jpg?sw=280&sh=280
continente.pt;2026-09-19;PRT;EUR;;8389603;;;Twinko;Muda-fraldas Rígido Oh Baby 70x47cm Twinko;Bebé;Banheiras e Complementos;Muda Fraldas e Contentores;;;;;;;;1 un;39.99;31.99;;;-20%;;;Disponível;https://www.continente.pt/produto/muda-fraldas-rigido-oh-baby-70x47cm-twinko-8389603.html;https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw1c521cf3/images/col/838/8389603-topshot.jpg?sw=280&sh=280
continente.pt;2026-09-19;PRT;EUR;;5473048;;;Renova;Lenços de Bolso 4 Folhas Sensitive Pure Renova;Beleza e Higiene;Lenços e Cuidados de Saúde;Lenços de Papel;;;;;;;;emb. 18 un;2.65;2.65;0.15;un;;;;Disponível;https://www.continente.pt/produto/lencos-de-bolso-4-folhas-sensitive-pure-renova-5473048.html;https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw8204d570/images/col/547/5473048-frente.jpg?sw=280&sh=280
continente.pt;2026-09-19;PRT;EUR;;8506603;;;Way Up;Proteína Whey em Pó Concentrada Chocolate Way Up;Bio e Saudável;Nutrição Desportiva;Energia e Proteína;;;;;;;;emb. 900 gr;29.99;29.99;29.99;kg;;;Bio;Disponível;https://www.continente.pt/produto/proteina-whey-em-po-concentrada-chocolate-way-up-8506603.html;https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw9700a747/images/col/850/8506603-frente.jpg?sw=280&sh=280
continente.pt;2026-09-19;PRT;EUR;;8031511;;;Zoko Happy Bear;Zoko Happy Bear - Super Mesa de Atividades;Brinquedos e Jogos;Peluches e Brinquedos de Bebé;Brinquedos de Bebé;;;;;;;;;39.99;25.99;;;-35%;;;Disponível;https://www.continente.pt/produto/zoko-happy-bear---super-mesa-de-atividades-8031511.html;https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw7aed8ef4/images/col/803/8031511-frente.jpg?sw=280&sh=280
continente.pt;2026-09-19;PRT;EUR;;2106611;;;Vileda;Recarga Esfregona Microfibra Amarela Suave Vileda;Casa e Jardim;Lavandaria e Organização;Utensílios de Limpeza;;;;;;;;1 un;2.79;2.79;;;PVPR -30%;;;Disponível;https://www.continente.pt/produto/recarga-esfregona-microfibra-amarela-suave-vileda-2106611.html;https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw1c9454a0/images/col/210/2106611-frente.jpg?sw=280&sh=280
continente.pt;2026-09-19;PRT;EUR;;8200251;;;Ristorante Piccolissima;Mini Pizzas de Salame Ristorante Piccolissima;Congelados;Pizzas;;;;;;;;;emb. 288 gr;4.99;4.99;;;;;;Disponível;https://www.continente.pt/produto/mini-pizzas-de-salame-ristorante-piccolissima-8200251.html;https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw30a8ee2d/images/col/820/8200251-direito.jpg?sw=280&sh=280
continente.pt;2026-09-19;PRT;EUR;;6661780;;;;Porções de Salmão Fresco;Frescos;Peixaria;Filetes, Lombos e Postas;Fresco;;;;;;;Quant. Mínima = 300 gr (2 un);2.99;2.99;19.93;kg;;;;Disponível;https://www.continente.pt/produto/porcoes-de-salmao-fresco-6661780.html;https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw17370d84/images/col/666/6661780-cima-pedra.jpg?sw=280&sh=280
continente.pt;2026-09-19;PRT;EUR;;7652960;;;Mimosa;Leite Proteína sem Lactose Mimosa;Laticínios e Ovos;Leite;Sem Lactose;;;;;;;;emb. 1 lt;1.99;1.99;1.99;lt;PVPR -20%;;;Disponível;https://www.continente.pt/produto/leite-proteina-sem-lactose-mimosa-7652960.html;https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwdaf1759e/images/col/765/7652960-frente.png?sw=280&sh=280
continente.pt;2026-09-19;PRT;EUR;;2210147;;;Renova;Guardanapos 2 Folhas Art de la Table Branco Renova;Limpeza;Guardanapos e Rolos;Guardanapos;;;;;;;;emb. 90 un;1.39;1.39;0.02;un;;;;Disponível;https://www.continente.pt/produto/guardanapos-2-folhas-art-de-la-table-branco-renova-2210147.html;https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwacaa3c55/images/col/221/2210147-frente.jpg?sw=280&sh=280
continente.pt;2026-09-19;PRT;EUR;;7335188;;;Vários Autores;Divirto-me no Banho com os Unicórnios;Livros;Infantis e Juvenis;Livros para Bebé;;;;;;;;;12.90;11.61;;;-10%;;;Disponível;https://www.continente.pt/produto/divirto-me-no-banho-com-os-unicornios-7335188.html;https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw1a153a65/images/col/733/7335188-frente.jpg?sw=280&sh=280
continente.pt;2026-09-19;PRT;EUR;;7439666;;;Continente Bio;Maçã Vermelha Biológica Continente Bio;Marcas;Marcas Continente;Continente Bio;Frutas e Legumes;;;;;;;emb. 500 gr;2.79;2.79;5.07;kg;;;Bio;Disponível;https://www.continente.pt/produto/maca-vermelha-biologica-continente-bio-7439666.html;https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw1824aa7e/images/col/743/7439666-cima.jpg?sw=280&sh=280
continente.pt;2026-09-19;PRT;EUR;;2700058;;;Cigala;Arroz Basmati Brajma Pronto a Comer sem Glúten Cigala;Mercearia;Arroz, Massa e Farinha;Arroz;;;;;;;;emb. 2 x 125 gr;1.35;1.35;5.40;kg;PVPR -10%;;;Disponível;https://www.continente.pt/produto/arroz-basmati-brajma-pronto-a-comer-sem-gluten-cigala-2700058.html;https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwea61df90/images/col/270/2700058-direito.jpg?sw=280&sh=280
continente.pt;2026-09-19;PRT;EUR;;8601743;;;Continente;Rolo de Cozinha 2 Folhas Eco Compacto Continente;undefined;;;;;;;;;;2 = 6 rolos;2.99;2.99;;;;;;Disponível;https://www.continente.pt/produto/rolo-de-cozinha-2-folhas-eco-compacto-continente-8601743.html;https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw7b5cda75/images/col/860/8601743-frente.jpg?sw=280&sh=280
continente.pt;2026-09-19;PRT;EUR;;8824659;;;Purina Felix;Comida Húmida para Gato Adulto Mix Sabores Purina Felix;Animais;Gato;Comida Húmida;;;;;;;;emb. 80 x 85 g;34.49;34.49;5.07;kg;PVPR -25%;;;Disponível;https://www.continente.pt/produto/comida-humida-para-gato-adulto-mix-sabores-purina-felix-8824659.html;https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw66ea76c5/images/col/882/8824659-frente.jpg?sw=280&sh=280
