website_name;competence_date;country_code;currency_code;listing_id;operation_type;property_type;title;price;price_original;price_per_sqm;area_sqm;rooms;bathrooms;floor;has_elevator;has_parking;has_terrace;has_garden;has_pool;energy_certificate;region;city;neighborhood;address_raw;latitude;longitude;agency_name;contact_phone;description;itemurl;imageurl
rightmove.co.uk;2026-09-21;GBR;GBP;101352041;sale;End of Terrace;End of Terrace in Roseberry Park, Tranent, EH33 2QF;310000.00;310000.00;3263.16;95.00;3;3;;;;;1;;;East Lothian;Tranent;Roseberry Park, Tranent, EH33 2QF;Roseberry Park, Tranent, EH33 2QF;55.93746;-2.95308;Walker Group;;Great layout, spacious separate lounge and kitchen, and a downstairs W.C. Family bathroom and three bedrooms upstairs, one with en-suite. Private turfed garden to the rear. Great for families looking for spacious, modern home with plenty of storage.;https://www.rightmove.co.uk/properties/101352041#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/80dddecfe/101352041/80dddecfee4ac9a92b47d262b08d9b16_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;100644956;sale;Block of Apartments;Block of Apartments in 138A-140 St. Albans Road, Watford, Hertfordshire WD24 4FT;525000.00;525000.00;4565.22;115.00;4;;;;;1;;;;Watford;North Watford;138A-140 St. Albans Road, Watford, Hertfordshire WD24 4FT;138A-140 St. Albans Road, Watford, Hertfordshire WD24 4FT;51.66894;-0.39763;Blue Alpine;;Two Leasehold Self-Contained First Floor Flats subject to Two Assured Shorthold Tenancies. Comprises two first floor self-contained flats situated within a mid-terrace building. Leasehold. Situated on the east side of St Albans Road (A412), to the south of its junction with Brixton Road.;https://www.rightmove.co.uk/properties/100644956#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/14d572b37/100644956/14d572b37bc90aeacde95ecadc9eb02c_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;102103157;sale;Flat;Flat in Sussex House, Kew Road, Kew, Richmond, Surrey, TW9;375000.00;375000.00;6818.18;55.00;1;;;;;;;;;Richmond upon Thames;North Sheen, Kew;Sussex House, Kew Road, Kew, Richmond, Surrey, TW9;Sussex House, Kew Road, Kew, Richmond, Surrey, TW9;51.47546;-0.29138;W. Hallett & Co;;One double bedroomed flat in popular residential block within easy reach of Kew Village and Station. EPC Rating C.;https://www.rightmove.co.uk/properties/102103157#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/98fe30030/102103157/98fe300308bf9841977925073f71af03_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;107258090;sale;Flat;Flat in Midland Road, Wellingborough;115000.00;115000.00;1533.33;75.00;2;1;;;;;;;;Wellingborough;Wellingborough, Wilby;Midland Road, Wellingborough;Midland Road, Wellingborough;52.30188;-0.69181;William H. Brown;;For sale with tenat in situ. to an investor/landlord only. Offered for sale is this stylish two bedroom duplex apartment to include an en-suite bathroom and separate shower room. This property is very well appointed throughout with a kitchen offering built in appliances. Excellent town centre living;https://www.rightmove.co.uk/properties/107258090#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5661651e3/107258090/5661651e3ec1a65bd997daca15dc9b7c_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;106247945;sale;Land;Land in Kirk Field, The Orchard, Reston, Eyemouth, TD14;1000000.00;1000000.00;28571.43;35.00;0;;;;;;;;;Scottish Borders;Eyemouth;Kirk Field, The Orchard, Reston, Eyemouth, TD14;Kirk Field, The Orchard, Reston, Eyemouth, TD14;55.851406;-2.195578;Galbraith;;Approximately 5.20 acres (2.10 hectares) Land allocated for Residential Use Indicative capacity for 50 residential units Excellent access to the A1 trunkroad New rail station Direct access from a public highway;https://www.rightmove.co.uk/properties/106247945#/?channel=COM_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d396bb896/106247945/d396bb896ce53167cbbc125d5a61ed59_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;106240961;sale;Apartment;Apartment in The Mill, College Street, Ipswich;105000.00;105000.00;1909.09;55.00;1;1;;;;;;;;Ipswich;North East Ipswich;The Mill, College Street, Ipswich;The Mill, College Street, Ipswich;52.05238;1.156232;Leaders Sales;;*** CASH BUYERS AND INVESTORS ONLY *** Situated along the beautiful and vibrant Ipswich Marina and only a short walk from Ipswich town centre is this modern and well-presented one bedroom apartment being offered with tenants in situ with a fantastic gross yield of 8.2% and NO ONWARD CH...;https://www.rightmove.co.uk/properties/106240961#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8a974e5f6/106240961/8a974e5f68cb4ee4d1c25186abecb354_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;107074640;sale;Apartment;Apartment in Slough;185000.00;185000.00;3363.64;55.00;1;1;;;;;;;;South Buckinghamshire;Burnham, Littleworth, Salt Hill, Slough, Upton, Cippenham;Slough;Slough;51.50907;-0.5874;S John Homes;;IDEAL INVESTMENT OF A FIRST TIME BUY A unique property that differs from the vast majority within the building that provides much more natural light. Positioned in a very quiet position within the building. This one bedroom apartment is just a short walk to mainline rail, bus station and close to...;https://www.rightmove.co.uk/properties/107074640#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c1212f78c/107074640/c1212f78cecb2fef61ddb23672a5a970_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;102400154;sale;Apartment;Apartment in Goodes Court, Baldock Road, Royston, Herts, SG8 5FF;130000.00;130000.00;2363.64;55.00;1;1;;;;;;;;North Hertfordshire;Royston;Goodes Court, Baldock Road, Royston, Herts, SG8 5FF;Goodes Court, Baldock Road, Royston, Herts, SG8 5FF;52.048042;-0.032167;McCarthy & Stone Resales;;FULL REFURBISHMENT of ALL communal spaces! ENJOY LUNCH ON US WHEN YOU TAKE A TOUR OF GOODES COURT - BOOK NOW! In EXCELLENT CONDITION, this one bedroom retirement apartment can be lived in immediately. It is TASTEFULLY DECORATED and has has the benefit of a DUAL ASPECT LOUNGE. ~...;https://www.rightmove.co.uk/properties/102400154#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0e98680fe/102400154/0e98680fe61baa9a6225f546548997c1_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;100736111;sale;Town House;Town House in Panorama Road, Poole, Dorset, BH13;875000.00;875000.00;7608.70;115.00;4;4;;;1;;1;1;;Poole;Canford Cliffs, Sandbanks, Branksome Park;Panorama Road, Poole, Dorset, BH13;Panorama Road, Poole, Dorset, BH13;50.68501;-1.94866;Stephen Noble;;A spacious FOUR BEDROOM, FOUR BATHROOM Townhouse with PRIVATE GARDEN and two SUN BALCONIES, located on the renowned Sandbanks Peninsula within a short walk of the SANDY BEACHES & POOLE HARBOUR. *GARAGE & OFF-ROAD PARKING*;https://www.rightmove.co.uk/properties/100736111#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0d9d03dc0/100736111/0d9d03dc0b160b7c6870d0aea517f84d_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;107108876;sale;Apartment;Apartment in Brunlees Court, 19-23 Cambridge Road, Southport;88950.00;88950.00;1617.27;55.00;1;1;;;;;1;;;Sefton;Banks, Churchtown, Crossens, Marshside;Brunlees Court, 19-23 Cambridge Road, Southport;Brunlees Court, 19-23 Cambridge Road, Southport;53.658702;-2.981207;McCarthy & Stone Resales;;*Join us for coffee & cake at our Open Day - Wednesday 7th October 2026 - from 10am to 4pm - BOOK YOUR PLACE TODAY!* A ONE BEDROOM APARTMENT with GARDEN VIEWS located on the SECOND FLOOR of this McCARTHY STONE RETIREMENT LIVING DEVELOPMENT for the OVER 70'S including an ON-SITE RESTAURAN...;https://www.rightmove.co.uk/properties/107108876#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3bfa7841f/107108876/3bfa7841f481ebbf9dc156aa3ed1a6f4_max_476x317.jpeg
