website_name;competence_date;country_code;currency_code;listing_id;operation_type;property_type;title;price;price_original;price_per_sqm;area_sqm;rooms;bathrooms;floor;has_elevator;has_parking;has_terrace;has_garden;has_pool;energy_certificate;region;city;neighborhood;address_raw;latitude;longitude;agency_name;contact_phone;description;itemurl;imageurl
rightmove.co.uk;2026-09-20;GBR;GBP;92992899;sale;Flat;Flat in Catkin Road, London, NW9;144000;144000;2057.14;70.0;1;1;;;;;;;;Greater London;London;Catkin Road, London, NW9;Catkin Road, London, NW9;51.5074;-0.1278;Bairstow Eves, North Finchley;;30% share price. A fantastic one bedroom duplex maisonette with two terraces is now available. In the heart of North London, make way for a modern landmark development with a new urban community setting new standards for Shared Ownership. All crafted with quality ...;https://www.rightmove.co.uk/properties/92992899;https://media.rightmove.co.uk/assets/7bb483729b5a8e26f73e1831cde5b842/_next/static/media/floorplan-white.97dae32e.svg
rightmove.co.uk;2026-09-20;GBR;GBP;92992899;sale;Flat;Flat in Catkin Road, London, NW9;144000;144000;2057.14;70.0;1;1;;;;;;;;Greater London;London;Catkin Road, London, NW9;Catkin Road, London, NW9;51.5074;-0.1278;Bairstow Eves, North Finchley;;30% share price. A fantastic one bedroom duplex maisonette with two terraces is now available. In the heart of North London, make way for a modern landmark development with a new urban community setting new standards for Shared Ownership. All crafted with quality ...;https://www.rightmove.co.uk/properties/92992899;https://media.rightmove.co.uk/dir/crop/10:9-16:9/property-photo/b94ebe6d8/92992899/b94ebe6d86f957364dc8830bac57b647_max_476x317.jpeg
rightmove.co.uk;2026-09-20;GBR;GBP;148711631;sale;Apartment;Apartment in One Hyde Park, Knightsbridge, London, SW1X;60000000;60000000;352941.18;170.0;5;1;;;;;;;;Greater London;London;One Hyde Park, Knightsbridge, London, SW1X;One Hyde Park, Knightsbridge, London, SW1X;51.5074;-0.1278;Global 1, London;;A magnificent five-bedroom lateral apartment occupying the entire floor plate within One Hyde Park Knightsbridge, the most distinguished and exclusive developments in the world, designed for luxurious living on a grand scale.;https://www.rightmove.co.uk/properties/148711631;https://media.rightmove.co.uk/assets/7bb483729b5a8e26f73e1831cde5b842/_next/static/media/camera-white.579a6efc.svg
rightmove.co.uk;2026-09-20;GBR;GBP;148711631;sale;Apartment;Apartment in One Hyde Park, Knightsbridge, London, SW1X;60000000;60000000;352941.18;170.0;5;1;;;;;;;;Greater London;London;One Hyde Park, Knightsbridge, London, SW1X;One Hyde Park, Knightsbridge, London, SW1X;51.5074;-0.1278;Global 1, London;;A magnificent five-bedroom lateral apartment occupying the entire floor plate within One Hyde Park Knightsbridge, the most distinguished and exclusive developments in the world, designed for luxurious living on a grand scale.;https://www.rightmove.co.uk/properties/148711631;https://media.rightmove.co.uk/assets/7bb483729b5a8e26f73e1831cde5b842/_next/static/media/camera-white.579a6efc.svg
rightmove.co.uk;2026-09-20;GBR;GBP;155320229;sale;Flat;Flat in Avenue Road, St Johns Wood, London, NW8;49950000;49950000;169322.03;295.0;10;1;;;;;;;;Greater London;London;Avenue Road, St Johns Wood, London, NW8;Avenue Road, St Johns Wood, London, NW8;51.5074;-0.1278;United Kingdom Sotheby's International Realty, St Johns Wood;;Striking family home in the heart of St John's Wood;https://www.rightmove.co.uk/properties/155320229;https://media.rightmove.co.uk/assets/7bb483729b5a8e26f73e1831cde5b842/_next/static/media/floorplan-white.97dae32e.svg
rightmove.co.uk;2026-09-20;GBR;GBP;155320229;sale;Flat;Flat in Avenue Road, St Johns Wood, London, NW8;49950000;49950000;169322.03;295.0;10;1;;;;;;;;Greater London;London;Avenue Road, St Johns Wood, London, NW8;Avenue Road, St Johns Wood, London, NW8;51.5074;-0.1278;United Kingdom Sotheby's International Realty, St Johns Wood;;Striking family home in the heart of St John's Wood;https://www.rightmove.co.uk/properties/155320229;https://media.rightmove.co.uk/assets/7bb483729b5a8e26f73e1831cde5b842/_next/static/media/floorplan-white.97dae32e.svg
rightmove.co.uk;2026-09-20;GBR;GBP;171185315;sale;Flat;Flat in Balfour Place, Mayfair, London, W1K;49500000;49500000;225000.0;220.0;7;1;;;;;;;;Greater London;London;Balfour Place, Mayfair, London, W1K;Balfour Place, Mayfair, London, W1K;51.5074;-0.1278;OB Private, Mayfair;;A grand double fronted townhouse in the heart of the Mayfair Village, Balfour House is arguably the best house in Mayfair. With beautiful proportioned accommodation, triple aspect windows to the south, east and west, a lift to every floor and large roof terrace, the house retains the feel of a co...;https://www.rightmove.co.uk/properties/171185315;https://media.rightmove.co.uk/assets/7bb483729b5a8e26f73e1831cde5b842/_next/static/media/floorplan-white.97dae32e.svg
rightmove.co.uk;2026-09-20;GBR;GBP;171185315;sale;Flat;Flat in Balfour Place, Mayfair, London, W1K;49500000;49500000;225000.0;220.0;7;1;;;;;;;;Greater London;London;Balfour Place, Mayfair, London, W1K;Balfour Place, Mayfair, London, W1K;51.5074;-0.1278;OB Private, Mayfair;;A grand double fronted townhouse in the heart of the Mayfair Village, Balfour House is arguably the best house in Mayfair. With beautiful proportioned accommodation, triple aspect windows to the south, east and west, a lift to every floor and large roof terrace, the house retains the feel of a co...;https://www.rightmove.co.uk/properties/171185315;https://media.rightmove.co.uk/assets/7bb483729b5a8e26f73e1831cde5b842/_next/static/media/floorplan-white.97dae32e.svg
rightmove.co.uk;2026-09-20;GBR;GBP;152205953;sale;Flat;Flat in Whistler Square, Chelsea Barracks, London, SW1W, United Kingdom;47000000;47000000;241025.64;195.0;6;1;;;;;;;;Greater London;London;Whistler Square, Chelsea Barracks, London, SW1W, United Kingdom;Whistler Square, Chelsea Barracks, London, SW1W, United Kingdom;51.5074;-0.1278;United Kingdom Sotheby's International Realty, Knightsbridge;;Whistler Square, Chelsea Barracks, London, SW1W, United Kingdom;https://www.rightmove.co.uk/properties/152205953;https://media.rightmove.co.uk/assets/7bb483729b5a8e26f73e1831cde5b842/_next/static/media/floorplan-white.97dae32e.svg
rightmove.co.uk;2026-09-20;GBR;GBP;152205953;sale;Flat;Flat in Whistler Square, Chelsea Barracks, London, SW1W, United Kingdom;47000000;47000000;241025.64;195.0;6;1;;;;;;;;Greater London;London;Whistler Square, Chelsea Barracks, London, SW1W, United Kingdom;Whistler Square, Chelsea Barracks, London, SW1W, United Kingdom;51.5074;-0.1278;United Kingdom Sotheby's International Realty, Knightsbridge;;Whistler Square, Chelsea Barracks, London, SW1W, United Kingdom;https://www.rightmove.co.uk/properties/152205953;https://media.rightmove.co.uk/assets/7bb483729b5a8e26f73e1831cde5b842/_next/static/media/floorplan-white.97dae32e.svg
